search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
Serum Albumin,18,101198-0,https://loinc.org/101198-0,ACTIVE,Albumin [Mass/volume] in Serum or Plasma by Nephelometry,Albumin SerPl Neph-mCnc,1,Albumin,MCnc,Pt,Ser/Plas,Qn,Nephelometry,g/L;g/dL,CHEM
Serum Albumin,19,1759-0,https://loinc.org/1759-0,ACTIVE,Albumin/Globulin [Mass Ratio] in Serum or Plasma,Albumin/Glob SerPl,1,Albumin/Globulin,MRto,Pt,Ser/Plas,Qn,,ratio,CHEM
Serum Albumin,20,103577-3,https://loinc.org/103577-3,ACTIVE,Albumin [Mass/volume] in Serum by Immunoassay,Albumin Ser IA-mCnc,1,Albumin,MCnc,Pt,Ser,Qn,IA,mg/dL,CHEM
Serum Albumin,21,1758-2,https://loinc.org/1758-2,ACTIVE,Albumin.glycated [Mass/volume] in Serum or Plasma,Albumin Glycated SerPl-mCnc,1,Albumin.glycated,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHEM
Serum Albumin,22,2862-1,https://loinc.org/2862-1,ACTIVE,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,Albumin SerPl Elph-mCnc,1,Albumin,MCnc,Pt,Ser/Plas,Qn,Electrophoresis,g/L;g/dL,CHEM
Serum Albumin,23,61195-4,https://loinc.org/61195-4,ACTIVE,Albumin [Mass/volume] in Serum or Plasma from Fetus,Albumin SerPl Fetus-mCnc,1,Albumin,MCnc,Pt,Ser/Plas^Fetus,Qn,,g/L,CHEM
Serum Albumin,24,48669-6,https://loinc.org/48669-6,ACTIVE,Albumin and Immunoglobulin Quotient [Interpretation] in Serum and CSF,Albumin & Ig Quotient Ser+CSF-Imp,1,Albumin & Immunoglobulin Quotient,Imp,Pt,Ser+CSF,Nom,,,CHEM
Serum Albumin,25,61151-7,https://loinc.org/61151-7,ACTIVE,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Albumin SerPl BCG-mCnc,1,Albumin,MCnc,Pt,Ser/Plas,Qn,BCG,g/dl,CHEM
Serum Albumin,26,61152-5,https://loinc.org/61152-5,ACTIVE,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Albumin SerPl BCP-mCnc,1,Albumin,MCnc,Pt,Ser/Plas,Qn,BCP,g/dl,CHEM
Serum Albumin,27,62235-7,https://loinc.org/62235-7,ACTIVE,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Albumin SerPl BCG-sCnc,1,Albumin,SCnc,Pt,Ser/Plas,Qn,BCG,umol/L,CHEM
Serum Albumin,28,62234-0,https://loinc.org/62234-0,ACTIVE,Albumin [Moles/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Albumin SerPl BCP-sCnc,1,Albumin,SCnc,Pt,Ser/Plas,Qn,BCP,umol/L,CHEM
Serum Albumin,29,40046-5,https://loinc.org/40046-5,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --pre XXX challenge,Albumin pre chal SerPl-mCnc,1,Albumin^pre XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,31,14123-4,https://loinc.org/14123-4,ACTIVE,Thyroxine (T4).albumin bound/Albumin [Mass Ratio] in Serum or Plasma,T4 Alb Bnd/Alb SerPl,1,Thyroxine.albumin bound/Albumin,MRto,Pt,Ser/Plas,Qn,,,CHEM
Serum Albumin,34,17844-2,https://loinc.org/17844-2,ACTIVE,Estradiol (E2).albumin bound [Mass/volume] in Serum or Plasma,Estradiol Albumin Bnd SerPl-mCnc,1,Estradiol.albumin bound,MCnc,Pt,Ser/Plas,Qn,,pg/mL,CHEM
Serum Albumin,35,1757-4,https://loinc.org/1757-4,ACTIVE,Albumin renal clearance in 24 hour Urine and Serum or Plasma,Albumin Cl 24h Ur+SerPl-vRate,1,Albumin renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,mL/min,CHEM
Serum Albumin,36,44429-9,https://loinc.org/44429-9,ACTIVE,Albumin/Globulin [Mass Ratio] in Serum or Plasma by Electrophoresis,Albumin/Glob SerPl Elph,1,Albumin/Globulin,MRto,Pt,Ser/Plas,Qn,Electrophoresis,ratio,CHEM
Serum Albumin,37,40059-8,https://loinc.org/40059-8,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --12 hours post XXX challenge,Albumin 12h p chal SerPl-mCnc,1,Albumin^12H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,38,40060-6,https://loinc.org/40060-6,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --1 day post XXX challenge,Albumin 1D p chal SerPl-mCnc,1,Albumin^1D post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,39,40061-4,https://loinc.org/40061-4,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --2 days post XXX challenge,Albumin 2D p chal SerPl-mCnc,1,Albumin^2D post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,40,21058-3,https://loinc.org/21058-3,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --2 hours post peritoneal dialysis,Albumin 2h p PD SerPl-mCnc,1,Albumin^2H post peritoneal dialysis,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHEM
Serum Albumin,41,40048-1,https://loinc.org/40048-1,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,Albumin 30M p chal SerPl-mCnc,1,Albumin^30M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,42,40062-2,https://loinc.org/40062-2,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --3 days post XXX challenge,Albumin 3D p chal SerPl-mCnc,1,Albumin^3D post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,43,40053-1,https://loinc.org/40053-1,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --3 hours post XXX challenge,Albumin 3h p chal SerPl-mCnc,1,Albumin^3H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,44,40049-9,https://loinc.org/40049-9,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --45 minutes post XXX challenge,Albumin 45M p chal SerPl-mCnc,1,Albumin^45M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,45,40047-3,https://loinc.org/40047-3,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --45 minutes pre XXX challenge,Albumin 45M pre chal SerPl-mCnc,1,Albumin^45M pre XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,46,40063-0,https://loinc.org/40063-0,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --4 days post XXX challenge,Albumin 4D p chal SerPl-mCnc,1,Albumin^4D post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,47,40054-9,https://loinc.org/40054-9,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --4 hours post XXX challenge,Albumin 4h p chal SerPl-mCnc,1,Albumin^4H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,48,40055-6,https://loinc.org/40055-6,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --5 hours post XXX challenge,Albumin 5h p chal SerPl-mCnc,1,Albumin^5H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,49,40057-2,https://loinc.org/40057-2,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --6.5 hours post XXX challenge,Albumin 6.5h p chal SerPl-mCnc,1,Albumin^6.5H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
Serum Albumin,50,40056-4,https://loinc.org/40056-4,ACTIVE,Albumin [Mass/volume] in Serum or Plasma --6 hours post XXX challenge,Albumin 6h p chal SerPl-mCnc,1,Albumin^6H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,g/dL,CHAL
PCV / Hct.,0,HTTP Error 400,Error,Error,400 Client Error: Bad Request for url: https://loinc.regenstrief.org/searchapi/loincs?query=PCV+%2F+Hct.,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
Lymphocytes,1,17215-5,https://loinc.org/17215-5,ACTIVE,CV lymphocytes/Lymphocytes in Blood,Lymphs CV/lymph NFr Bld,1,Lymphocytes.CV/Lymphocytes,NFr,Pt,Bld,Qn,,%,CELLMARK
Lymphocytes,2,17222-1,https://loinc.org/17222-1,ACTIVE,HLE lymphocytes/Lymphocytes in Blood,Lymphs HLE/lymph NFr Bld,1,Lymphocytes.HLE/Lymphocytes,NFr,Pt,Bld,Qn,,%,CELLMARK
Lymphocytes,3,17096-9,https://loinc.org/17096-9,ACTIVE,Kappa lymphocytes/Lymphocytes in Blood,Lymphs Kappa/lymph NFr Bld,1,Lymphocytes.kappa/Lymphocytes,NFr,Pt,Bld,Qn,,%,CELLMARK
Lymphocytes,4,17224-7,https://loinc.org/17224-7,ACTIVE,Lambda lymphocytes/Lymphocytes in Blood,Lymphs Lambda/lymph NFr Bld,1,Lymphocytes.lambda/Lymphocytes,NFr,Pt,Bld,Qn,,%,CELLMARK
Lymphocytes,5,17225-4,https://loinc.org/17225-4,ACTIVE,SMIg lymphocytes/Lymphocytes in Blood,Lymphs SmIg/lymph NFr Bld,1,Lymphocytes.SmIg/Lymphocytes,NFr,Pt,Bld,Qn,,%,CELLMARK
Lymphocytes,6,9440-9,https://loinc.org/9440-9,ACTIVE,IgA lymphocytes/Lymphocytes in Leukocytes,Lymphs IgA/lymph NFr WBC,1,Lymphocytes.IgA/Lymphocytes,NFr,Pt,WBC,Qn,,%,CELLMARK
Lymphocytes,7,9441-7,https://loinc.org/9441-7,ACTIVE,IgD lymphocytes/Lymphocytes in Leukocytes,Lymphs IgD/lymph NFr WBC,1,Lymphocytes.IgD/Lymphocytes,NFr,Pt,WBC,Qn,,%,CELLMARK
Lymphocytes,8,9442-5,https://loinc.org/9442-5,ACTIVE,IgG lymphocytes/Lymphocytes in Leukocytes,Lymphs IgG/lymph NFr WBC,1,Lymphocytes.IgG/Lymphocytes,NFr,Pt,WBC,Qn,,%,CELLMARK
Lymphocytes,9,9443-3,https://loinc.org/9443-3,ACTIVE,IgM lymphocytes/Lymphocytes in Leukocytes,Lymphs IgM/lymph NFr WBC,1,Lymphocytes.IgM/Lymphocytes,NFr,Pt,WBC,Qn,,%,CELLMARK
Lymphocytes,10,104802-4,https://loinc.org/104802-4,ACTIVE,Variant lymphocytes [Presence] in Blood,Variant Lymphs Bld Ql,1,Lymphocytes.variant,PrThr,Pt,Bld,Ord,,,HEM/BC
Lymphocytes,11,20617-7,https://loinc.org/20617-7,ACTIVE,Kappa lymphocytes/Lymphocytes in Specimen,Lymphs Kappa/lymph NFr Spec,1,Lymphocytes.kappa/Lymphocytes,NFr,Pt,XXX,Qn,,%,CELLMARK
Lymphocytes,12,20618-5,https://loinc.org/20618-5,ACTIVE,Lambda lymphocytes/Lymphocytes in Specimen,Lymphs Lambda/lymph NFr Spec,1,Lymphocytes.lambda/Lymphocytes,NFr,Pt,XXX,Qn,,%,CELLMARK
Lymphocytes,13,26567-8,https://loinc.org/26567-8,ACTIVE,IgA lymphocytes/Lymphocytes in Specimen,Lymphs IgA/lymph NFr Spec,1,Lymphocytes.IgA/Lymphocytes,NFr,Pt,XXX,Qn,,%,CELLMARK
Lymphocytes,14,20615-1,https://loinc.org/20615-1,ACTIVE,IgD lymphocytes/Lymphocytes in Specimen,Lymphs IgD/lymph NFr Spec,1,Lymphocytes.IgD/Lymphocytes,NFr,Pt,XXX,Qn,,%,CELLMARK
Lymphocytes,15,32562-1,https://loinc.org/32562-1,ACTIVE,IgG lymphocytes/Lymphocytes in Specimen,Lymphs IgG/lymph NFr Spec,1,Lymphocytes.IgG/Lymphocytes,NFr,Pt,XXX,Qn,,%,CELLMARK
Lymphocytes,16,20616-9,https://loinc.org/20616-9,ACTIVE,IgM lymphocytes/Lymphocytes in Specimen,Lymphs IgM/lymph NFr Spec,1,Lymphocytes.IgM/Lymphocytes,NFr,Pt,XXX,Qn,,%,CELLMARK
Lymphocytes,17,46238-2,https://loinc.org/46238-2,ACTIVE,Kappa lymphocytes/Lymphocytes in Body fluid,Lymphs Kappa/lymph NFr Fld,1,Lymphocytes.kappa/Lymphocytes,NFr,Pt,Body fld,Qn,,%,CELLMARK
Lymphocytes,18,46237-4,https://loinc.org/46237-4,ACTIVE,Kappa lymphocytes/Lymphocytes in Bone marrow,Lymphs Kappa/lymph NFr Mar,1,Lymphocytes.kappa/Lymphocytes,NFr,Pt,Bone mar,Qn,,%,CELLMARK
Lymphocytes,19,104322-3,https://loinc.org/104322-3,ACTIVE,Lambda lymphocytes/Lymphocytes in Bone marrow,Lymphs Lambda/lymph NFr Mar,1,Lymphocytes.lambda/Lymphocytes,NFr,Pt,Bone mar,Qn,,%,CELLMARK
Lymphocytes,20,32563-9,https://loinc.org/32563-9,ACTIVE,IgG lymphocytes/Lymphocytes in Cerebral spinal fluid,Lymphs IgG/lymph NFr CSF,1,Lymphocytes.IgG/Lymphocytes,NFr,Pt,CSF,Qn,,%,CELLMARK
Lymphocytes,21,26477-0,https://loinc.org/26477-0,ACTIVE,Variant lymphocytes [#/volume] in Blood,Variant Lymphs # Bld,1,Lymphocytes.variant,NCnc,Pt,Bld,Qn,,10*3/mm3,HEM/BC
Lymphocytes,22,15192-8,https://loinc.org/15192-8,ACTIVE,Variant lymphocytes [Presence] in Blood by Automated count,Variant Lymphs Bld Ql Auto,1,Lymphocytes.variant,PrThr,Pt,Bld,Ord,Automated count,,HEM/BC
Lymphocytes,23,733-6,https://loinc.org/733-6,ACTIVE,Variant lymphocytes [Presence] in Blood by Light microscopy,Variant Lymphs Bld Ql Smear,1,Lymphocytes.variant,PrThr,Pt,Bld,Ord,Microscopy.light,,HEM/BC
Lymphocytes,24,13046-8,https://loinc.org/13046-8,ACTIVE,Variant lymphocytes/Leukocytes in Blood,Variant Lymphs NFr Bld,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Bld,Qn,,%,HEM/BC
Lymphocytes,25,11130-2,https://loinc.org/11130-2,ACTIVE,B lymphocytes [#/volume] in Blood,B Lymphocytes # Bld,1,Lymphocytes B,NCnc,Pt,Bld,Qn,,/uL,CELLMARK
Lymphocytes,26,61118-6,https://loinc.org/61118-6,ACTIVE,Lymphocytes.cytoplasmic IgG/Lymphocytes in Body fluid,Lymphocytes.cyIgG/lymph NFr Fld,1,Lymphocytes.cytoplasmic IgG/Lymphocytes,NFr,Pt,Body fld,Qn,,%,CELLMARK
Lymphocytes,27,61119-4,https://loinc.org/61119-4,ACTIVE,Lymphocytes.cytoplasmic IgM/Lymphocytes in Body fluid,Lymphocytes.cyIgM/lymph NFr Fld,1,Lymphocytes.cytoplasmic IgM/Lymphocytes,NFr,Pt,Body fld,Qn,,%,CELLMARK
Lymphocytes,28,734-4,https://loinc.org/734-4,ACTIVE,Variant lymphocytes [#/volume] in Blood by Manual count,Variant Lymphs # Bld Manual,1,Lymphocytes.variant,NCnc,Pt,Bld,Qn,Manual count,10*9/L,HEM/BC
Lymphocytes,29,35041-3,https://loinc.org/35041-3,ACTIVE,Variant lymphocytes [#/volume] in Peritoneal fluid,Variant Lymphs # Prt,1,Lymphocytes.variant,NCnc,Pt,Periton fld,Qn,,10*3/uL,HEM/BC
Lymphocytes,30,35042-1,https://loinc.org/35042-1,ACTIVE,Variant lymphocytes [#/volume] in Pleural fluid,Variant Lymphs # Plr,1,Lymphocytes.variant,NCnc,Pt,Plr fld,Qn,,10*3/uL,HEM/BC
Lymphocytes,31,32832-8,https://loinc.org/32832-8,ACTIVE,Variant lymphocytes/Leukocytes in Bronchial specimen,Variant Lymphs NFr Bronch,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Bronchial,Qn,,%,HEM/BC
Lymphocytes,32,33409-4,https://loinc.org/33409-4,ACTIVE,Variant lymphocytes/Leukocytes in Pericardial fluid,Variant Lymphs NFr Pcar,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Pericard fld,Qn,,%,HEM/BC
Lymphocytes,33,33369-0,https://loinc.org/33369-0,ACTIVE,Variant lymphocytes/Leukocytes in Peritoneal fluid,Variant Lymphs NFr Prt,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Periton fld,Qn,,%,HEM/BC
Lymphocytes,34,33370-8,https://loinc.org/33370-8,ACTIVE,Variant lymphocytes/Leukocytes in Pleural fluid,Variant Lymphs NFr Plr,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Plr fld,Qn,,%,HEM/BC
Lymphocytes,35,42759-1,https://loinc.org/42759-1,ACTIVE,B lymphocytes [#/volume] in Bone marrow,B Lymphocytes # Mar,1,Lymphocytes B,NCnc,Pt,Bone mar,Qn,,/mm3,CELLMARK
Lymphocytes,36,43743-4,https://loinc.org/43743-4,ACTIVE,Variant lymphocytes [#/volume] in Blood by Automated count,Variant Lymphs # Bld Auto,1,Lymphocytes.variant,NCnc,Pt,Bld,Qn,Automated count,10*9/L,HEM/BC
Lymphocytes,37,35045-4,https://loinc.org/35045-4,ACTIVE,Variant lymphocytes [#/volume] in Body fluid,Variant Lymphs # Fld,1,Lymphocytes.variant,NCnc,Pt,Body fld,Qn,,10*3/uL,HEM/BC
Lymphocytes,38,35043-9,https://loinc.org/35043-9,ACTIVE,Variant lymphocytes [#/volume] in Cerebral spinal fluid,Variant Lymphs # CSF,1,Lymphocytes.variant,NCnc,Pt,CSF,Qn,,10*3/uL,HEM/BC
Lymphocytes,39,35044-7,https://loinc.org/35044-7,ACTIVE,Variant lymphocytes [#/volume] in Synovial fluid,Variant Lymphs # Snv,1,Lymphocytes.variant,NCnc,Pt,Synv fld,Qn,,10*3/uL,HEM/BC
Lymphocytes,40,11107-0,https://loinc.org/11107-0,ACTIVE,Variant lymphocytes/cells in Bone marrow by Manual count,Variant Lymphs NFr Mar Manual,1,Lymphocytes.variant/Cells,NFr,Pt,Bone mar,Qn,Manual count,%,HEM/BC
Lymphocytes,41,95219-2,https://loinc.org/95219-2,ACTIVE,Variant lymphocytes/Leukocytes in Stem cell product by Manual count,Variant Lymphs NFr Stem prod Manual,1,Lymphocytes.variant/Leukocytes,NFr,Pt,^Stem cell product,Qn,Manual count,%,HEM/BC
Lymphocytes,42,42250-1,https://loinc.org/42250-1,ACTIVE,Variant lymphocytes/Leukocytes in Blood by Automated count,Variant Lymphs NFr Bld Auto,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Bld,Qn,Automated count,%,HEM/BC
Lymphocytes,43,735-1,https://loinc.org/735-1,ACTIVE,Variant lymphocytes/Leukocytes in Blood by Manual count,Variant Lymphs NFr Bld Manual,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Bld,Qn,Manual count,%,HEM/BC
Lymphocytes,44,30417-0,https://loinc.org/30417-0,ACTIVE,Variant lymphocytes/Leukocytes in Body fluid,Variant Lymphs NFr Fld,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Body fld,Qn,,%,HEM/BC
Lymphocytes,45,32805-4,https://loinc.org/32805-4,ACTIVE,Variant lymphocytes/Leukocytes in Bronchial specimen by Manual count,Variant Lymphs NFr Bronch Manual,1,Lymphocytes.variant/Leukocytes,NFr,Pt,Bronchial,Qn,Manual count,%,HEM/BC
Lymphocytes,46,30416-2,https://loinc.org/30416-2,ACTIVE,Variant lymphocytes/Leukocytes in Cerebral spinal fluid,Variant Lymphs NFr CSF,1,Lymphocytes.variant/Leukocytes,NFr,Pt,CSF,Qn,,%,HEM/BC
Lymphocytes,47,71665-4,https://loinc.org/71665-4,ACTIVE,Variant lymphocytes/Leukocytes [Pure number fraction] in Blood by Manual count,Variant Lymphs NFr.DF Bld Manual,1,Lymphocytes.variant/leukocytes,NFr.DF,Pt,Bld,Qn,Manual count,,HEM/BC
Lymphocytes,48,106918-6,https://loinc.org/106918-6,ACTIVE,Lymphocytes/cells in Bronchoalveolar lavage,Lymphocytes NFr BAL,1,Lymphocytes/cells,NFr,Pt,BAL,Qn,,%,HEM/BC
Lymphocytes,49,26474-7,https://loinc.org/26474-7,ACTIVE,Lymphocytes [#/volume] in Blood,Lymphocytes # Bld,1,Lymphocytes,NCnc,Pt,Bld,Qn,,/uL,HEM/BC
Lymphocytes,50,21375-1,https://loinc.org/21375-1,ACTIVE,Kappa lymphocytes/Lymphocytes.lambda [# Ratio] in Blood,Lymphs Kappa/Lambda Bld,1,Lymphocytes.kappa/Lymphocytes.lambda,NRto,Pt,Bld,Qn,,,CELLMARK
Duration of Abstinence,1,10587-4,https://loinc.org/10587-4,ACTIVE,Sexual abstinence duration,Sex Abstin duration Time Patient,1,Sexual abstinence duration,Time,Pt,^Patient,Qn,,days,FERT
Serum Lactate,1,53933-8,https://loinc.org/53933-8,ACTIVE,Lactate dehydrogenase in pericardial fluid/Lactate dehydrogenase in serum,LDH Pcar/SerPl,1,Lactate dehydrogenase.pericard fld/Lactate dehydrogenase.serum,RelRto,Pt,Pericard fld+Ser/Plas,Qn,,Ratio,CHEM
Serum Lactate,2,101656-7,https://loinc.org/101656-7,ACTIVE,"Lactate and pyruvate panel - Serum, Plasma or Blood",Lactate & pyruvate pnl SerPlBld,1,Lactate & pyruvate panel,-,Pt,Ser/Plas/Bld,-,,,PANEL.CHEM
Serum Lactate,3,14118-4,https://loinc.org/14118-4,ACTIVE,Lactate [Mass/volume] in Serum or Plasma,Lactate SerPl-mCnc,1,Lactate,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHEM
Serum Lactate,5,2524-7,https://loinc.org/2524-7,ACTIVE,Lactate [Moles/volume] in Serum or Plasma,Lactate SerPl-sCnc,1,Lactate,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHEM
Serum Lactate,6,79521-1,https://loinc.org/79521-1,ACTIVE,Lactyl lactate [Moles/volume] in Serum or Plasma,Lactyl lactate SerPl-sCnc,1,Lactyl lactate,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum Lactate,7,53934-6,https://loinc.org/53934-6,ACTIVE,Lactate dehydrogenase in peritoneal fluid/Lactate dehydrogenase in serum,LDH Prt/SerPl,1,Lactate dehydrogenase.periton fld/Lactate dehydrogenase.serum,RelRto,Pt,Periton fld+Ser/Plas,Qn,,Ratio,CHEM
Serum Lactate,8,49930-1,https://loinc.org/49930-1,ACTIVE,Lactate dehydrogenase in pleural fluid/Lactate dehydrogenase in serum,LDH Plr/SerPl,1,Lactate dehydrogenase.plr fld/Lactate dehydrogenase.serum,RelRto,Pt,Ser/Plas+Plr fld,Qn,,Ratio,CHEM
Serum Lactate,9,14045-9,https://loinc.org/14045-9,ACTIVE,D-Lactate [Moles/volume] in Serum or Plasma,D-Lactate SerPl-sCnc,1,D-lactate,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHEM
Serum Lactate,10,59004-2,https://loinc.org/59004-2,ACTIVE,Lactate [Moles/volume] in Serum or Plasma --baseline,Lactate BS SerPl-sCnc,1,Lactate^baseline,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
Serum Lactate,11,75639-5,https://loinc.org/75639-5,ACTIVE,Lactate dehydrogenase in body fluid/Lactate dehydrogenase in serum,LDH.body fld/SerPl,1,Lactate dehydrogenase.body fld/Lactate dehydrogenase.serum,RelRto,Pt,Body fld+Ser/Plas,Qn,,ratio,CHEM
Serum Lactate,12,14804-9,https://loinc.org/14804-9,ACTIVE,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,LDH SerPl L to P-cCnc,1,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,Reaction: lactate to pyruvate,arb U/L,CHEM
Serum Lactate,13,14805-6,https://loinc.org/14805-6,ACTIVE,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction,LDH SerPl P to L-cCnc,1,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,Reaction: pyruvate to lactate,arb U/L,CHEM
Serum Lactate,14,100742-6,https://loinc.org/100742-6,ACTIVE,Lactate dehydrogenase.macromolecular [Presence] in Serum or Plasma,LDH Macro SerPl Ql,1,Lactate dehydrogenase.macromolecular,PrThr,Pt,Ser/Plas,Ord,,,CHEM
Serum Lactate,15,68911-7,https://loinc.org/68911-7,ACTIVE,Lactate [Mass/volume] in Serum or Plasma --post exercise,Lactate p Exc SerPl-mCnc,1,Lactate^post exercise,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
Serum Lactate,16,59849-0,https://loinc.org/59849-0,ACTIVE,Lactate [Moles/volume] in Serum or Plasma --post exercise,Lactate p Exc SerPl-sCnc,1,Lactate^post exercise,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
Serum Lactate,17,57366-7,https://loinc.org/57366-7,ACTIVE,Lactate [Mass/volume] in Serum or Plasma --pre XXX challenge,Lactate pre chal SerPl-mCnc,1,Lactate^pre XXX challenge,MCnc,Pt,Ser/Plas,Qn,,mg/dl,CHAL
Serum Lactate,18,25905-1,https://loinc.org/25905-1,ACTIVE,D-Lactate [Moles/volume] in Serum or Plasma --Pre excercise,D-Lactate pre Exc SerPl-sCnc,1,D-lactate^pre exercise,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
Serum Lactate,19,57357-6,https://loinc.org/57357-6,ACTIVE,Lactate [Mass/volume] in Serum or Plasma --10 minutes post XXX challenge,Lactate 10M p chal SerPl-mCnc,1,Lactate^10M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,mg/dl,CHAL
Serum Lactate,20,59011-7,https://loinc.org/59011-7,ACTIVE,Lactate [Moles/volume] in Serum or Plasma --10 minutes post XXX challenge,Lactate 10M p chal SerPl-sCnc,1,Lactate^10M post XXX challenge,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
Serum Lactate,21,59012-5,https://loinc.org/59012-5,ACTIVE,Lactate [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge,Lactate 15M p chal SerPl-sCnc,1,Lactate^15M post XXX challenge,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
Serum Lactate,22,57356-8,https://loinc.org/57356-8,ACTIVE,Lactate [Mass/volume] in Serum or Plasma --1 minute post XXX challenge,Lactate 1M p chal SerPl-mCnc,1,Lactate^1M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,mg/dl,CHAL
Serum Lactate,23,59005-9,https://loinc.org/59005-9,ACTIVE,Lactate [Moles/volume] in Serum or Plasma --1 minute post XXX challenge,Lactate 1M p chal SerPl-sCnc,1,Lactate^1M post XXX challenge,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
Serum Lactate,24,57360-0,https://loinc.org/57360-0,ACTIVE,Lactate [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,Lactate 20M p chal SerPl-mCnc,1,Lactate^20M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,mg/dl,CHAL
Serum Lactate,25,57362-6,https://loinc.org/57362-6,ACTIVE,Lactate [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,Lactate 30M p chal SerPl-mCnc,1,Lactate^30M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,mg/dl,CHAL
Serum Lactate,26,59013-3,https://loinc.org/59013-3,ACTIVE,Lactate [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge,Lactate 30M p chal SerPl-sCnc,1,Lactate^30M post XXX challenge,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
